# SNRtot_MF, evidence220_221, evidence220, nofilter]
1.381833764512005125e+01 -4.067263272768336719e+02 -4.085666663088239829e+02 -5.024051042532259999e+02
1.456650347601920359e+01 -4.005347743020288362e+02 -4.022876172828812855e+02 -5.055296508921160239e+02
4.400193078529346025e+01 -3.651377150952732222e+02 -3.656794165508617311e+02 -1.327374370270426652e+03
1.378571516565805233e+01 -3.743151797834353829e+02 -3.724359459424917418e+02 -4.641428895296448900e+02
7.862491399471156228e+01 -3.802648538865632304e+02 -3.790215772766488271e+02 -3.460185106307053502e+03
6.849405970920978248e+00 -4.007519511097980853e+02 -4.014018326839525344e+02 -4.229337244856354232e+02
4.045619513767931608e+01 -3.709253814541679048e+02 -3.712228499023713653e+02 -1.182532334083670321e+03
3.661803709535969631e+01 -3.756633382048361796e+02 -3.760087257349806578e+02 -1.037388965378208923e+03
1.501413592230085037e+01 -3.886949843787493251e+02 -3.879392631585835147e+02 -4.955350218242431879e+02
2.610983570957684563e+01 -3.918228649937157684e+02 -3.929922488115830106e+02 -7.290777113608345417e+02
9.820411612602340412e+00 -4.133073496855224107e+02 -4.126076027148393450e+02 -4.557139099572830219e+02
1.633049565621014665e+01 -4.128372282175367900e+02 -4.129379236129756237e+02 -5.438376803773300026e+02
2.588508747511499308e+01 -4.058730919756503113e+02 -4.102038766356129713e+02 -7.409929045676668693e+02
1.081804553356532317e+01 -3.971820791199980363e+02 -3.989710852079838901e+02 -4.539544899205548063e+02
1.935816727249121794e+00 -3.845586665281709315e+02 -3.844822630382512898e+02 -3.858215391122008100e+02
2.093199618488618086e+01 -3.952710519295292215e+02 -3.983497950952894371e+02 -6.157069769264759316e+02
6.586803883333097964e+00 -3.999700120882533270e+02 -4.013148905857256068e+02 -4.203717785200682329e+02
8.035727815735093316e+00 -3.702374500284655596e+02 -3.708058146458602664e+02 -3.984292901485251832e+02
1.599040321112699736e+01 -3.882463495544304806e+02 -3.872797487842205442e+02 -5.101217390090324670e+02
4.165578347405971726e+01 -3.889802212235563843e+02 -3.888660976531842834e+02 -1.251043302508428042e+03
4.595954059286719406e+00 -3.734103241722074245e+02 -3.748140870246600116e+02 -3.815246479976595992e+02
4.184180244421160211e+00 -3.716173716494213295e+02 -3.719089007147420602e+02 -3.788535617619481286e+02
6.036057824966836627e+00 -3.595470376441437566e+02 -3.585213639053437760e+02 -3.763332685126314345e+02
9.433355611302504329e+00 -3.868939213978580938e+02 -3.882130626687165886e+02 -4.286916853265962573e+02
8.534883065857698625e+00 -4.232703707717745942e+02 -4.232822602869280786e+02 -4.541073767806082060e+02
