# SNRtot_MF, evidence_inj, evidence_filt, nofilter]
8.351360381635726071e+01 -3.405727809269319550e+02 -3.308768335223597319e+02 -3.628703124677316737e+03
6.007582420666780365e+01 -2.031695560615175395e+02 -2.003996505178723453e+02 -1.982078562413667441e+03
6.901315604860050712e+01 -2.310933809879453804e+02 -2.288408260052208050e+02 -2.553336426530521749e+03
6.771616428231338602e+01 -2.273850672364458774e+02 -2.245468994206980824e+02 -2.498634430087663077e+03
6.376909055175084262e+01 -2.271757745348522803e+02 -2.242979477811005893e+02 -2.246989034850770167e+03
5.919773913270783794e+01 -2.113035702495171222e+02 -2.079076289479682202e+02 -1.940055706442750079e+03
7.542589125836961728e+01 -2.686368028899647129e+02 -2.678352498917589628e+02 -3.084979380386805587e+03
6.904247083213309111e+01 -2.522896034122525464e+02 -2.512903778932865464e+02 -2.606556671936953535e+03
7.132972161550806334e+01 -2.089462781335061550e+02 -2.044112052384508331e+02 -2.721406927833771533e+03
6.602956730247528583e+01 -2.200400702727496594e+02 -2.173616110754535384e+02 -2.362166805082223618e+03
5.637869358951730447e+01 -2.459367221838834610e+02 -2.420332213570391389e+02 -1.822233372765198283e+03
8.100576610070206129e+01 -2.220539288038619929e+02 -2.219558987472287583e+02 -3.450818182627353963e+03
6.921498519772843849e+01 -2.491635457871118717e+02 -2.455504199698048922e+02 -2.626284791104503711e+03
9.020952025437941302e+01 -2.491843254852268217e+02 -2.479259605848151864e+02 -4.303081533756329009e+03
4.793078928994120957e+01 -2.693282822880086655e+02 -2.665758804462126932e+02 -1.413168267542561125e+03
6.377543696637547299e+01 -2.329652427873568001e+02 -2.314353203246602391e+02 -2.246590442076109866e+03
7.827581043527165150e+01 -2.515751049684665475e+02 -2.493373491322794564e+02 -3.298751062704626747e+03
6.675730157243410190e+01 -2.398735661640712067e+02 -2.362999050408282073e+02 -2.451580834140258048e+03
6.248036578336130731e+01 -2.309369175180324589e+02 -2.289093353732677372e+02 -2.162030849947450406e+03
7.998948003447215171e+01 -2.298825538121095349e+02 -2.305025047240522440e+02 -3.358917509551950843e+03
5.117621966038754522e+01 -2.590018522343804079e+02 -2.556463489011836714e+02 -1.564939474753400418e+03
6.538255856690267365e+01 -2.186960611019587191e+02 -2.153461027076937739e+02 -2.314864592904798428e+03
8.662638053769573787e+01 -2.510166377748031152e+02 -2.440454511304705250e+02 -3.889004334895152169e+03
7.628307498967123479e+01 -2.244924990348127380e+02 -2.224584293514340629e+02 -3.099656706653535366e+03
7.329596208413860836e+01 -3.213877715084421993e+02 -3.180650098284547198e+02 -3.002419302391840574e+03
5.503142952311427649e+01 -2.505846595073255969e+02 -2.474378966154035879e+02 -1.747564683041936632e+03
