# SNRtot_MF, evidence220_221, evidence220, nofilter]
5.299518601071392609e+00 -3.939286214112490256e+02 -3.947177620096066448e+02 -4.076608123175325886e+02
2.721817526793883601e+01 -3.940635475557329528e+02 -3.932582628268824578e+02 -7.592653142595106601e+02
2.701953922197210289e+01 -4.027436940560313587e+02 -4.026823100525332961e+02 -7.630430431618536886e+02
1.564434897181209827e+01 -3.865032518102430572e+02 -3.870079630525497123e+02 -5.026954212977536827e+02
4.146192133474389152e+01 -4.170337727515384358e+02 -4.178162302104730088e+02 -1.267996672958517820e+03
1.369882541562741451e+01 -3.917447994862470750e+02 -3.923489955729691587e+02 -4.799226862126434980e+02
1.440940892957668318e+01 -3.684776368096740384e+02 -3.693654162827892833e+02 -4.659390533229279754e+02
3.257431832713431952e+00 -4.151850067984507859e+02 -4.175803796909160610e+02 -4.228894163778617212e+02
2.092955756259789268e+01 -4.036235832428853882e+02 -4.035776222070650761e+02 -6.189081331188541526e+02
1.786551452120103534e+01 -3.766930971841804876e+02 -3.785492823124628785e+02 -5.340293238006375987e+02
7.474656421834864339e+00 -4.096086433905121567e+02 -4.130423283275181916e+02 -4.385173335548100226e+02
6.125811223610766909e+00 -3.732000881515922970e+02 -3.729786950859035528e+02 -3.889375665911394435e+02
3.120090158913886569e+01 -4.040693024523050667e+02 -4.057428874033456623e+02 -8.868639424022536559e+02
1.268452065924149608e+01 -3.810973739167175154e+02 -3.806235151602395490e+02 -4.590464644287920351e+02
7.008855058423231199e+00 -3.718048236919855185e+02 -3.727886625480895191e+02 -3.947713498236556120e+02
1.758513536518733389e+01 -3.998701059676908471e+02 -4.005386298787010446e+02 -5.518475273223908744e+02
9.553934522330914447e+00 -3.990577291003019127e+02 -3.996620140650625217e+02 -4.443586852083573149e+02
3.138393934727419676e+00 -3.865195552806416117e+02 -3.872248152642868604e+02 -3.886670013196949753e+02
3.203835440540017032e+01 -3.692890495450896537e+02 -3.697422368223311082e+02 -8.822682359113676966e+02
3.248557965788980795e+01 -3.955377945961754449e+02 -3.954385872821117687e+02 -9.187711675115143635e+02
1.884029171968373362e+01 -3.702419059563329711e+02 -3.740161140661206787e+02 -5.439289555855889375e+02
5.386314643687475368e+00 -3.744779115437511336e+02 -3.772536195725277253e+02 -3.897419329426504646e+02
7.212434386845092860e+00 -3.966466629099940633e+02 -3.973040165175489165e+02 -4.194096296684686536e+02
8.894999023367200053e+00 -3.901921995740909779e+02 -3.890820551309261077e+02 -4.253080932569311017e+02
3.903701897867052573e+00 -3.747700820120556386e+02 -3.759056484666913889e+02 -3.832523541047297613e+02
2.681749691732913021e+01 -3.809400820926159668e+02 -3.791136513697682631e+02 -7.352293011891371179e+02
9.629477702351220358e+00 -4.293891584047898959e+02 -4.326917013966951231e+02 -4.751343613022391992e+02
1.577952201638397867e+01 -4.121797976172160247e+02 -4.144803623682607849e+02 -5.359045011112513066e+02
2.257937127667189259e+01 -3.995020226236671874e+02 -3.956848495263860173e+02 -6.415556075537054994e+02
1.001626811019195173e+01 -4.305316912412376382e+02 -4.285363130567887993e+02 -4.775539623822128306e+02
4.445722689261965144e+01 -3.874316255889141871e+02 -3.869537577405741331e+02 -1.368203492302090808e+03
9.609558981389955790e+00 -3.995243783228955863e+02 -4.008079185337024910e+02 -4.444514273198203114e+02
2.184549869145507728e+01 -3.519716259019648419e+02 -3.523008147145104090e+02 -5.868133992819184641e+02
1.907013142951220530e+01 -4.099785010603740147e+02 -4.095222360409119915e+02 -5.861481334338293436e+02
1.884548318726115212e+01 -3.995522571382610408e+02 -3.994296813815578275e+02 -5.746779900597945243e+02
2.417807249992737084e+01 -3.974605723360747334e+02 -4.016916748881470767e+02 -6.915067719579427603e+02
9.570691369788635328e+00 -3.991880187745354647e+02 -4.020637896209045721e+02 -4.446581699518346227e+02
2.957565277805662518e+01 -3.893770923625300497e+02 -3.885233865368053898e+02 -8.210975481663397204e+02
1.690454060984898987e+01 -4.150859661107474494e+02 -4.162852064873339373e+02 -5.551083061722072216e+02
2.548964821811091142e+01 -3.972515196652022382e+02 -3.965956727792911352e+02 -7.178188861051805816e+02
3.862994989647811295e+00 -3.820718290300193303e+02 -3.819527934976442793e+02 -3.886594013924478759e+02
1.026984032592645768e+01 -3.992958038066864788e+02 -4.021295501551409188e+02 -4.508736079618255985e+02
2.187059592219786808e+01 -3.800254333420617741e+02 -3.798958774749239637e+02 -6.155105692626534619e+02
1.807555462474307717e+01 -3.963397040521253984e+02 -3.998728057189751439e+02 -5.592475625833850472e+02
1.089511153338616722e+01 -4.048705381499123064e+02 -4.057695933590621848e+02 -4.647414882034140078e+02
1.231874847353470237e+01 -3.951840276912852232e+02 -3.958738921864141389e+02 -4.697781795402711396e+02
2.586219936218525817e+01 -4.127296640338018960e+02 -4.148926541077609613e+02 -7.453736660366669184e+02
1.347827900291525260e+01 -3.849233283635091425e+02 -3.871579927800348173e+02 -4.758552038975852270e+02
2.942507443439973613e+01 -3.873846663323331541e+02 -3.886852278870720738e+02 -8.188415813604581217e+02
2.712211999205962343e+01 -4.204236177710588436e+02 -4.222029299062580208e+02 -7.846538281737441594e+02
1.939764986057431528e+01 -4.063767647283041811e+02 -4.065823510613319627e+02 -5.903885587907454919e+02
1.345443838867923780e+01 -3.763457925570484690e+02 -3.754435253560325236e+02 -4.602216983560784911e+02
2.760484137297861906e+01 -3.572768193930359075e+02 -3.583195073599375746e+02 -7.354990058306289029e+02
1.561159468782044613e+01 -4.061526399841617945e+02 -4.033063510188569012e+02 -5.207323949842323145e+02
2.012324319645225046e+01 -3.899144903401153783e+02 -3.887877554367972266e+02 -5.883974232314562869e+02
3.642379957299324733e+00 -3.744697811036450048e+02 -3.745257316897940996e+02 -3.786558871937013464e+02
7.690005996411128919e+00 -3.464351021625899989e+02 -3.489884248081554574e+02 -3.765771918618850123e+02
1.780055329270581055e+01 -4.107685700610506956e+02 -4.110004767009120883e+02 -5.683795481624047170e+02
3.866005586677061512e+00 -3.739755443294647534e+02 -3.754471450400258732e+02 -3.823839373666820052e+02
8.669446110130520466e+00 -3.911105651761773174e+02 -3.925883613046915457e+02 -4.281266420173644747e+02
1.637962003138167333e+01 -3.817807450865213923e+02 -3.845597301091973463e+02 -5.141470266829724096e+02
2.160637598777712753e+01 -3.815601338349028993e+02 -3.854998632879363640e+02 -6.154493349490927585e+02
1.940733691605727529e+01 -3.717532965997475571e+02 -3.713680005748450981e+02 -5.541946378653608463e+02
1.817368486606629219e+01 -4.256509833212290346e+02 -4.268144907005860773e+02 -5.862077007968265434e+02
2.913150787388024199e+01 -3.772936089520885048e+02 -3.780167424170974755e+02 -7.989778007268332658e+02
6.310317948689823098e+00 -3.792736030990552649e+02 -3.807049166012646424e+02 -3.967832986965228770e+02
1.542180842319474898e+01 -3.877813942058071461e+02 -3.888321365191754353e+02 -5.045451194640771746e+02
7.358885199715093250e+00 -3.830337366925210176e+02 -3.853292953296629548e+02 -4.095605434905078255e+02
2.239178416919770953e+01 -3.638059671035759379e+02 -3.643518768406667050e+02 -6.096998786405615647e+02
1.294979324590413405e+01 -4.098028348252972819e+02 -4.133123690452306391e+02 -4.943708504969235946e+02
9.303422056671509566e+00 -4.034465042693796022e+02 -4.048079708271722552e+02 -4.446504882742452196e+02
1.523629794884765154e+01 -3.983131025465696666e+02 -3.975204273557397414e+02 -5.088991382897172571e+02
2.250209530118942425e+01 -4.092871890759737994e+02 -4.120931101891308685e+02 -6.604765279224804999e+02
1.406633100347877274e+01 -3.927559745551995434e+02 -3.940725078981049592e+02 -4.883095147632195108e+02
6.823372469454642264e+00 -4.076231680642562196e+02 -4.080196527290412405e+02 -4.266063793869172969e+02
1.049469168220139004e+01 -3.338801525802290939e+02 -3.338535887998753537e+02 -3.869830583055917828e+02
6.997561984354791598e+00 -3.915014688591539311e+02 -3.914149461712175935e+02 -4.132870972548525401e+02
1.146094816687982743e+01 -4.121777943525154342e+02 -4.110972808647563852e+02 -4.729417995059391160e+02
7.635218777903303611e+00 -3.870570865908471774e+02 -3.881594494424186337e+02 -4.165778131653992205e+02
4.933518491688948515e+00 -3.848192644980823047e+02 -3.855939622785688243e+02 -3.982753216888377779e+02
2.576137875909439501e+01 -4.000730535692244985e+02 -4.034518042566047029e+02 -7.303282857026458714e+02
3.333974802398297133e+00 -3.930871124354210338e+02 -3.953089727335656107e+02 -3.992161962102557027e+02
1.378005465133563234e+01 -3.917360275399794318e+02 -3.928469229336567992e+02 -4.835143022383597327e+02
4.441259153094811296e+01 -3.775481321280014981e+02 -3.758835499260638926e+02 -1.355430243665509352e+03
7.627779099300346033e+00 -3.640920887514264450e+02 -3.651717228810672395e+02 -3.917138261359162357e+02
1.128409048843272799e+01 -3.875922704003387480e+02 -3.886346245401945225e+02 -4.523360424951809478e+02
5.758129748257667657e+00 -4.188347079916399025e+02 -4.189155852963852453e+02 -4.319997284611487771e+02
1.658281429122486728e+01 -3.880891517292239996e+02 -3.891232266258668346e+02 -5.245550677356576443e+02
1.695970845069812682e+01 -4.047709872096303911e+02 -4.045649924937476385e+02 -5.447241953968506323e+02
2.456013228752522437e+01 -3.907307746083998268e+02 -3.919415103442540271e+02 -6.870042995199863753e+02
1.350059821293603335e+01 -3.597920121122717205e+02 -3.596650620800835441e+02 -4.469036340253384765e+02
1.624119086648794763e+01 -3.723571057047007571e+02 -3.732790637161490395e+02 -5.012083683181714377e+02
2.640210964671640426e+01 -3.787975888750594322e+02 -3.796976082840107551e+02 -7.270551039417155152e+02
3.065535206157813874e+01 -3.884502787976624631e+02 -3.856583695820018534e+02 -8.536272823038193565e+02
2.290856959844674279e+01 -3.686798512824394152e+02 -3.676395351282202455e+02 -6.248971331327883263e+02
1.338060723449567924e+01 -3.587602327535245195e+02 -3.597474960912862798e+02 -4.447683186614863189e+02
2.617615326923288421e+01 -3.924026684113923693e+02 -3.959466011010549096e+02 -7.337680457591927734e+02
2.213633542043826807e+01 -4.272145347654929992e+02 -4.271324124060645318e+02 -6.662215114208336217e+02
9.474214172400294842e+00 -4.362869307527894307e+02 -4.369419911183186400e+02 -4.771099503041024263e+02
3.439194686177884375e+00 -4.076611463480959969e+02 -4.084357503553277979e+02 -4.111196168873694319e+02
9.454876980185597191e+00 -4.053597927011561524e+02 -4.068867274368483891e+02 -4.486921935966570913e+02
3.967363761930593924e+00 -4.029815168275156338e+02 -4.031440305203573757e+02 -4.086995569796538348e+02
3.141768357545679180e+01 -3.972489442504999602e+02 -3.991293610831731939e+02 -8.872461342784398539e+02
5.538292564559005982e+00 -4.017829907993520351e+02 -4.005712145371996371e+02 -4.148814160614020921e+02
1.512459189107688751e+01 -3.702133182943617840e+02 -3.718200818099346066e+02 -4.844398862823466629e+02
2.908409752100301837e+00 -3.865467533673860316e+02 -3.864490384991399878e+02 -3.890814494976660285e+02
2.541536692499735750e+01 -4.321740412534475126e+02 -4.319941802109374862e+02 -7.485091602563703646e+02
1.733491875332270737e+01 -3.919452048657445289e+02 -3.951523859342050287e+02 -5.396795473460764470e+02
1.852321154243881551e+01 -4.073669908548230296e+02 -4.078521223312034181e+02 -5.758735272142976100e+02
1.120996062522020686e+01 -3.740744680997879072e+02 -3.747169514022968997e+02 -4.319444614173975765e+02
9.258127940975471759e+00 -3.866681705772755322e+02 -3.887230706781719505e+02 -4.331341575456514761e+02
