# format=SNRtot_MF, ln(BF)
3.551618175319743553e+00 3.291803956317380653e+00
4.664692895046364640e+00 8.791225743484801569e+00
4.608140932486062269e+00 7.700484642717356110e+00
3.842518132777831941e+00 4.758308261146282803e+00
5.897663243586247717e+00 1.446500519756148151e+01
4.177837361127273219e+00 6.007371673273951274e+00
2.805948210082908734e+00 2.456649411746639089e+00
4.558610932817649619e+00 7.700724296098258037e+00
4.898916324481488616e+00 1.037560115187920928e+01
3.975132556027689557e+00 4.401737454038311625e+00
3.845077834364249103e+00 4.961506463129751410e+00
4.620460686218033075e+00 7.887696007887484484e+00
3.727429518740455805e+00 7.060346414256969183e+00
3.057724070959059404e+00 2.448193346461550846e+00
4.206080655562451476e+00 5.564458208101939363e+00
2.154065366583102215e+00 2.265951105922511033e+00
6.839231055892723177e+00 2.137521119280052062e+01
3.916741671833433358e+00 7.114602816811611774e+00
4.815110398224969224e+00 9.093490301097233441e+00
3.851472023132512579e+00 4.541373343739962820e+00
3.530606555153101844e+00 6.235147978096506449e+00
6.033145836401850204e+00 1.510065906001136682e+01
3.083422096430371351e+00 3.243819719444331895e+00
3.861171363975957505e+00 6.121032234963877272e+00
3.531199296665731957e+00 4.560827952728402579e+00
3.781564720237593491e+00 5.000355654928398508e+00
6.169324921116507987e+00 1.564963637990962297e+01
7.316659037141030275e+00 2.390352953020737914e+01
3.666930265076334905e+00 4.703194785808591405e+00
4.453609681806728560e+00 7.239581260123713946e+00
2.892714429769120965e+00 1.733063095090017214e+00
5.790237813398090516e+00 1.690577737773554645e+01
3.453229644506031537e+00 4.252448639943054332e+00
4.268489750146749806e+00 3.274717174246745799e+00
4.953095201556432237e+00 6.686295736266970380e+00
4.779675556657949187e+00 1.165765394470696492e+01
4.825900385398595560e+00 9.226988850362431549e+00
1.927320447633841249e+00 -8.324776789891075168e-02
4.670345513483992406e+00 7.532832026413075255e+00
3.308938661815667093e+00 4.218452126674662850e+00
4.798087983278847446e+00 8.876844152640217089e+00
5.122432992744818669e+00 1.118042020712692874e+01
4.163201250297992040e+00 8.328495954841400817e+00
4.587445250177814238e+00 7.309238859563492952e+00
3.868988863769957653e+00 4.091239593338229952e+00
2.967675076609798790e+00 1.430753164513816955e+00
3.309108828625828114e+00 3.620152585575340254e+00
4.100447767510329911e+00 6.750196631563198935e+00
3.445446318949918929e+00 4.840625670878011988e+00
3.660488099121536720e+00 5.207234447565213031e+00
3.743092946470484073e+00 8.738979177034423174e+00
4.970065016656306511e+00 8.691338341539960766e+00
3.788875199592777854e+00 4.398683011243861074e+00
4.651998228220866061e+00 9.506584269815505195e+00
6.302648228919589535e+00 1.680237680473948103e+01
4.967974007279492454e+00 9.926479648802285283e+00
6.308748470820298770e+00 1.841170191436538062e+01
3.141987665589493606e+00 2.728278957032387098e+00
4.473145960544207433e+00 8.155220087889404113e+00
2.985915452841183093e+00 2.643078234427548523e+00
5.145931099629596162e+00 1.532453554990308930e+01
3.636148963515739574e+00 4.549111656790614688e+00
3.453628777953237972e+00 3.751595423996377576e+00
3.549375198609192594e+00 2.513882918230933683e+00
4.231931793108656414e+00 4.429860120218847896e+00
6.912987688443090306e+00 2.076912466247171096e+01
2.862220234333475499e+00 2.460937775540287475e+00
4.394764358435498508e+00 7.095188668048706404e+00
3.181145672835813176e+00 4.440741602226864870e+00
6.776382484363520753e+00 1.960951545346244984e+01
5.180087651570413065e+00 6.696566574092685187e+00
2.002408667121848840e+00 5.919958525054198617e-01
4.822807145168122034e+00 7.654124822230244263e+00
3.588350443305897475e+00 4.038847764606884994e+00
2.783199046485025363e+00 1.390572491464695304e+00
4.004962036144927851e+00 7.638984329812444685e+00
2.798376112975671237e+00 2.198154128526482509e+00
2.541858162012428313e+00 1.696991116166941538e+00
3.142900939014773520e+00 5.863779204427828518e+00
