# format=SNRtot_MF, evidence_inj, evidence_filt, nofilter]
1.196615017376653611e+01 -4.058243290130355945e+02 -4.073627186554612649e+02 -4.734269170129678059e+02
1.245856242370843603e+01 -4.190525526056135277e+02 -4.264168943916042736e+02 -4.942672984868573849e+02
1.101790202383874906e+01 -4.125907811364893973e+02 -4.130625901344870385e+02 -4.700107242302576651e+02
1.114822357990759549e+01 -4.161652622208754337e+02 -4.188246842915764887e+02 -4.799518957017201046e+02
1.125886627293117570e+01 -3.782881269474856936e+02 -3.806174866078044374e+02 -4.379756411483326133e+02
1.221877158450150347e+01 -4.171203767899623926e+02 -4.210057722250027723e+02 -4.879068886301973293e+02
1.000591538762296118e+01 -4.089727766993469231e+02 -4.111416059299635322e+02 -4.551972188385286699e+02
1.280220235203295509e+01 -3.839232106311508232e+02 -3.872135171555360671e+02 -4.625261774473194691e+02
1.215036701609369096e+01 -3.862775345042944082e+02 -3.880533338362572522e+02 -4.545442637307716041e+02
1.113076190307722335e+01 -3.925585927181138572e+02 -3.943077674695244923e+02 -4.479013522863480148e+02
1.193358677455869277e+01 -4.193338876287560311e+02 -4.213854310057245698e+02 -4.858056043950447247e+02
1.197673588077144124e+01 -4.067143087192976623e+02 -4.100486676243993998e+02 -4.759939285504168538e+02
1.251357882355421403e+01 -3.928439978587304608e+02 -3.956151043790572430e+02 -4.651212732735136228e+02
1.295691511279304997e+01 -4.413476863706059135e+02 -4.431435912810843547e+02 -5.225868587119302902e+02
1.218786740339873376e+01 -4.245847947965152116e+02 -4.307701668042511187e+02 -4.963016923766387549e+02
1.029517858663755270e+01 -3.959502556808267286e+02 -3.978598469183701241e+02 -4.479103546471731647e+02
1.123081134111248680e+01 -3.886744066684357790e+02 -3.905483341958952792e+02 -4.497771586777850530e+02
1.343432244798313313e+01 -3.854574245594395165e+02 -3.899343438812867362e+02 -4.709382677770998384e+02
1.062010202713324425e+01 -3.922417880344274295e+02 -3.936940873738798246e+02 -4.420027484432255278e+02
1.144607842759513971e+01 -4.263998145503171600e+02 -4.299911497198648362e+02 -4.862506412042876036e+02
1.225737424832565381e+01 -3.880852041146952729e+02 -3.887314760488403067e+02 -4.602824619735280294e+02
1.144594260129570706e+01 -3.563444496181146519e+02 -3.595126461837777470e+02 -4.166293388387359187e+02
1.113958927088142303e+01 -4.020950164973668279e+02 -4.042113090346078366e+02 -4.603195595514690126e+02
1.135004656848636451e+01 -4.039483211747252085e+02 -4.059837505929410781e+02 -4.640878784389289535e+02
1.177307223591868635e+01 -3.898877945158176317e+02 -3.908021743052599959e+02 -4.543931123819864411e+02
1.126564847246107348e+01 -4.049303561640786029e+02 -4.102124549163135612e+02 -4.670649996360687055e+02
