# format=SNRtot_MF, ln(BF)
9.229562943602578784e+00 3.846102459926959227e+01
7.456086183540958423e+00 2.564695396415243067e+01
7.062175096454359036e+00 2.278436544319424684e+01
8.735395769279227451e+00 3.480924120587070547e+01
7.725893832881827628e+00 2.851128772548366896e+01
7.567916493106476850e+00 2.510029351454994639e+01
8.320922413790873051e+00 3.072363793891202022e+01
7.634593530101932757e+00 2.548408849719083946e+01
8.754276834993003575e+00 3.682027563839233153e+01
9.387187523813457446e+00 4.055213061618968595e+01
