# SNRtot, SNR221_res, SNR221, evidence220_221, evidence220, evidence221, nofilter
1.035175306630353287e+00 1.035162207504717324e+00 2.135646247114988028e-05 1.189067306453308426e+01 1.178333801658443036e+01 1.181869751140163594e+01 1.145460715132604079e+01
5.773125874998008555e-02 5.773125768155393939e-02 7.567561619048556235e-09 1.198953505204260850e+01 1.198957326749338925e+01 1.198940487419490886e+01 1.198873465993623633e+01
1.405153125315811202e+01 1.397985495336994433e+01 1.198023811296609897e-01 9.605089087705062312e+00 8.250106624935231281e+00 3.781263552957111251e+00 -8.673236417018493682e+01
7.714665035643770707e-01 7.714563916345446026e-01 1.891256760801174433e-05 1.192073889674025189e+01 1.186082644817090603e+01 1.187420322559706243e+01 1.169282082599374206e+01
5.055992698325062484e-02 5.055992861683310940e-02 4.925294061549161583e-09 1.198963731442770353e+01 1.198973684807651630e+01 1.198954842517832731e+01 1.198912295594638877e+01
1.587875684420355071e+01 1.574448916614331928e+01 1.942002393013936290e-01 9.471916409185789476e+00 8.116467604100169098e+00 2.980263232605874890e+00 -1.140770583496158821e+02
2.920056887399563550e+01 2.840111037019136475e+01 1.097719958257338257e+00 8.530186957089940236e+00 6.990533625950024366e+00 -2.137584792562056801e+00 -4.143462101734266980e+02
4.929420139866242323e+01 4.659020602717077253e+01 3.033202201889523941e+00 7.749254102560195534e+00 6.007544197210136439e+00 -6.338747967598965971e+00 -1.202968744656891658e+03
5.671038854502516990e-01 5.671025844889475698e-01 3.021863095983978149e-06 1.195864400477192824e+01 1.192526810315807317e+01 1.193693881998577311e+01 1.182959770060827864e+01
5.053093849657755987e-01 5.053077114633236500e-01 2.960256310533308852e-06 1.196493535259857310e+01 1.193883151733060721e+01 1.194840166058900799e+01 1.186273232178741921e+01
2.541337912537132482e+01 2.505026262048068375e+01 4.468667664561082331e-01 8.835893337816232318e+00 7.351196192858523659e+00 3.592480987665820358e-01 -3.109295181758748186e+02
2.065708338399673494e+02 1.277737238155133639e+02 8.612918042591074652e+01 6.338232125303806086e+00 -3.133787512719496817e+02 -9.089312547978222767e+01 -2.132376429556064249e+04
1.749705951220750511e-01 1.749706316328991096e-01 2.083234271967609552e-07 1.198551998343221925e+01 1.198268940757559520e+01 1.198264827032914326e+01 1.197509375447597790e+01
8.354919879537976612e+01 7.090635070018872455e+01 1.435823938080096340e+01 7.168668994315668286e+00 1.242286355145155952e+00 -9.546707550843180456e+00 -3.478243908565888887e+03
2.393337821642751717e-01 2.393335967008918541e-01 4.059501504903985329e-07 1.198359810525685809e+01 1.197810195091232899e+01 1.197970888686833035e+01 1.196176077941213656e+01
5.614004156312871885e+01 5.137600027796914048e+01 6.042663351192972598e+00 7.458472518148839825e+00 4.736744466281749055e+00 -8.700234618494048888e+00 -1.563861732245855592e+03
7.246202822940420063e+00 7.240462427203389950e+00 1.023602184245141385e-02 1.049216729607196008e+01 9.392024312810997699e+00 7.212398585350854319e+00 -1.426332656654019182e+01
6.206583751095612556e+00 6.200568735654381491e+00 7.534575440306795317e-03 1.067426305622303140e+01 9.805136591132605162e+00 8.225288538486466905e+00 -7.270439820627375482e+00
2.641778527814503050e-02 2.641778547492733276e-02 3.659123152593537488e-10 1.198998286688078707e+01 1.199023101616746168e+01 1.199007648584354158e+01 1.199005215936516322e+01
1.884761549425884253e+00 1.884651283274300093e+00 1.540548404719443054e-04 1.169917893127657926e+01 1.139179109434815373e+01 1.145864917385485349e+01 1.021423805995753398e+01
2.721404085516009388e-02 2.721404113955269363e-02 8.020736783972721712e-10 1.198993876769509015e+01 1.199018997683595344e+01 1.199001125663653511e+01 1.199003080704483182e+01
2.092065077249687821e+00 2.091996271801459084e+00 2.017190194673731864e-04 1.158475968513275944e+01 1.121196520283695541e+01 1.118679717813708940e+01 9.802032965330791825e+00
4.854163919941478084e-02 4.854164002962422370e-02 2.004034858778602783e-09 1.198977510896530596e+01 1.198987989304663593e+01 1.198976666735593888e+01 1.198922296368658102e+01
3.885452110891996380e+00 3.884748221873635554e+00 1.213796178941211300e-03 1.114068960032544631e+01 1.041490066035638939e+01 9.897616089495222980e+00 4.442032056037128918e+00
1.065598211676741585e+02 8.666529258653656598e+01 2.174750166021790676e+01 6.732756648048296100e+00 -2.060674768317722005e+00 -1.107177965111987916e+01 -5.665507342534294366e+03
2.794781764325199314e-01 2.794779979546914706e-01 4.103563434891525791e-07 1.198227290709594151e+01 1.197450260549302747e+01 1.197738610670537618e+01 1.195134708350364150e+01
1.080027557413033463e+02 8.725917513407834747e+01 2.299531430190661752e+01 6.611995045732235177e+00 -6.903002891267916219e+00 -1.184683440481134475e+01 -5.820307222748761887e+03
1.745633139772598541e-01 1.745633476202582413e-01 1.312756982070807423e-07 1.198626010164280764e+01 1.198340236081361354e+01 1.198385348956034235e+01 1.197516493376130242e+01
1.542226560431151361e-01 1.542226431129408437e-01 5.840738706129201455e-08 1.198765025943959017e+01 1.198554877125590501e+01 1.198628921844534467e+01 1.197850879523616818e+01
5.309449276703030129e+00 5.304920267354052754e+00 6.296061868475892262e-03 1.078392800250180272e+01 9.890572623063965452e+00 8.694591516532399922e+00 -2.104724701886498295e+00
7.387078131505075973e+00 7.378910614955551672e+00 1.686790529867834842e-02 1.040078825439101529e+01 9.233356336128624164e+00 6.881078295922646859e+00 -1.529406055142559673e+01
4.408574755500881126e-02 4.408574777094848018e-02 1.265541182647273511e-09 1.198983370404700644e+01 1.198997842929965962e+01 1.198986266308587112e+01 1.198942933248592269e+01
2.953687571918406363e+00 2.953001466202393566e+00 9.744433279529255256e-04 1.135578031023924162e+01 1.077524883700908376e+01 1.068392016728570759e+01 7.628265972802038775e+00
4.016323321117558187e+00 4.015077917601801438e+00 3.053221285337124214e-03 1.100666976785124263e+01 1.009558246376383650e+01 9.375653846047237394e+00 3.924974599178279178e+00
2.832277732589516886e-02 2.832277744375039791e-02 9.905799391152819936e-10 1.198991944226112949e+01 1.199017013441846657e+01 1.198998672095921414e+01 1.199000001919693759e+01
2.492182904478063232e+00 2.491749943198016126e+00 7.689663155052423168e-04 1.142363003185014847e+01 1.090912780638201873e+01 1.083315193550995303e+01 8.884913294368306680e+00
9.553156564010906848e+00 9.524397767848142848e+00 3.931238342098127003e-02 1.014409694696120923e+01 9.014713013203410341e+00 5.893859759730850634e+00 -3.364099905919766798e+01
1.107334524771937279e+00 1.107325512426180714e+00 2.367269674104515478e-05 1.186608548764172966e+01 1.174337387927312193e+01 1.177174059124167549e+01 1.137730623417871811e+01
9.180978035950092264e-02 9.180978490235108813e-02 1.423173132749944910e-08 1.198907505488337222e+01 1.198856784694699229e+01 1.198862701876874404e+01 1.198618659116983487e+01
1.202397851062088074e+00 1.202366674797880730e+00 9.142753852170179085e-05 1.179519108039032638e+01 1.164798510105520535e+01 1.164551916222341355e+01 1.126752081293530061e+01
9.399068254497669472e-02 9.399069076127648803e-02 2.355946983777809323e-08 1.198884368136156553e+01 1.198830453078250358e+01 1.198824161108159103e+01 1.198598398485202843e+01
2.433207356740430782e+01 2.397266257648002963e+01 4.085367529320833579e-01 9.086731656788117562e+00 7.703572818477812056e+00 1.238158429494370605e+00 -2.840345009357330355e+02
1.310427242178748131e+01 1.305462185948769616e+01 5.780980973543274615e-02 9.911113619006554742e+00 8.745117783217844831e+00 4.926870228200080248e+00 -7.387057674315531131e+01
4.894308614297885640e+01 4.623316436864058687e+01 3.006574219931732905e+00 7.895744840169506951e+00 6.219170130959133402e+00 -5.415727682084360950e+00 -1.185722439490469924e+03
3.237440518468839845e-01 3.237441296026140058e-01 7.177804342821917778e-07 1.197764640883303322e+01 1.196693835892789082e+01 1.196925529970569357e+01 1.193799600350154577e+01
3.483244205019774142e+01 3.346618539892163113e+01 1.692441940783844245e+00 8.364902518344717208e+00 6.798109579483167408e+00 -3.813937003012665805e+00 -5.946591084811373094e+02
3.319061537074722845e-01 3.319060371899168471e-01 1.793758739520376406e-06 1.197290532529577511e+01 1.196198078562149902e+01 1.196164464287257978e+01 1.193532026162021964e+01
6.118454799592216720e-01 6.118445061296357013e-01 1.058158383645160733e-05 1.193412282731014606e+01 1.189535865360754485e+01 1.189486465631001444e+01 1.180322366338139872e+01
3.895081632502602087e+00 3.894403392254202512e+00 1.826754909194000997e-03 1.108049902832248357e+01 1.025688762573671298e+01 9.634114029952419500e+00 4.404570647125096272e+00
3.202293839159483374e-02 3.202293829640720513e-02 1.084518794178108796e-09 1.198990037794467689e+01 1.199013359145868840e+01 1.198996337272188306e+01 1.198988837476304781e+01
2.193137766079029216e+00 2.192942137382341450e+00 5.372451148815350543e-04 1.147893806272967510e+01 1.102494723478889860e+01 1.094326950225920392e+01 9.585474478553607014e+00
3.792908608810504484e-02 3.792908598092484262e-02 1.093639988383819278e-09 1.198987449782914183e+01 1.199006900098091677e+01 1.198992699724154498e+01 1.198968180126892413e+01
3.423443644730548741e+00 3.422601956335776574e+00 1.093651066152862006e-03 1.127815899641332642e+01 1.064615734963740579e+01 1.046430564571687860e+01 6.130417914731673079e+00
8.123194259927865701e+00 8.106883318737374111e+00 2.726493808227518911e-02 1.027546203005548797e+01 9.109047485928028820e+00 6.440917993083189685e+00 -2.100274138320784800e+01
4.491614873680957132e+00 4.488929330107060522e+00 4.657970214572793553e-03 1.090566884298382355e+01 9.977653125376374277e+00 9.077747065219817557e+00 1.903099022318663458e+00
1.332117539264804917e-01 1.332117329425201169e-01 5.687185402032748157e-08 1.198806724508122556e+01 1.198664200950445746e+01 1.198703275615058672e+01 1.198152842336257962e+01
1.219565806125678478e+02 9.324504989498977636e+01 3.307901436554151786e+01 6.539669904065945616e+00 -2.966329472441408655e+01 -2.316276953904441172e+01 -7.424713376245825202e+03
1.688814080945829632e-01 1.688814167950063450e-01 7.857337874224862516e-08 1.198702148590393257e+01 1.198437910996246991e+01 1.198516863649166453e+01 1.197614064405465939e+01
1.048087594235593940e+02 8.547514868173215064e+01 2.117923249289080090e+01 6.868875787585957404e+00 -1.655565502603969286e+00 -1.069262552516142684e+01 -5.480447624843720405e+03
3.098722650743302998e-01 3.098721889080620628e-01 4.623663910256527780e-07 1.198022059586127774e+01 1.197046387039980253e+01 1.197373830438618292e+01 1.194239069872351600e+01
6.050307058213314493e-01 6.050308694415575950e-01 6.625852413932041618e-06 1.194168526628695481e+01 1.190341567137557455e+01 1.190704009130925201e+01 1.180737003156133547e+01
3.654404631091346389e-01 3.654397017872285658e-01 2.389201757112080089e-06 1.197110436995578198e+01 1.195795214243219995e+01 1.195900991572473337e+01 1.192362774301595429e+01
3.252704603178858123e-01 3.252706022403472064e-01 1.192711813036524699e-06 1.197505887238049738e+01 1.196435900932368845e+01 1.196495767634404750e+01 1.193750067287695948e+01
4.126782695970405257e+01 3.927381982011534234e+01 2.313001940607141815e+00 8.204207120609929405e+00 6.596721273638409322e+00 -4.765174239546817958e+00 -8.395263698789837008e+02
4.640006340706865728e+01 4.390902858222593608e+01 2.798715907187107277e+00 8.047135564468678837e+00 6.400405925790590089e+00 -5.026793491030582928e+00 -1.064492540980941385e+03
1.349860735607986939e+01 1.345089755346164040e+01 5.843705851620099867e-02 9.828012420686356165e+00 8.577720493114597389e+00 4.684646476502625667e+00 -7.911579916775212951e+01
2.201292354985236699e+01 2.170642796080653270e+01 3.600835933595919469e-01 9.210375588845915118e+00 7.860070306508697868e+00 1.488743756714005606e+00 -2.302940004967678362e+02
1.131346029100880113e+00 1.131337416812152163e+00 6.035755932918922522e-05 1.181543302759625291e+01 1.168357784676816991e+01 1.167870906278058563e+01 1.135042919027350017e+01
9.423762107032369884e-02 9.423762839135799152e-02 3.517691561782088913e-08 1.198863139319160709e+01 1.198811119628527777e+01 1.198790834996821353e+01 1.198596074444216697e+01
1.201447062258201903e+01 1.196903137493469238e+01 5.416766290597341271e-02 9.989643823916109611e+00 8.877169570827620149e+00 5.184156333385061544e+00 -6.018335106138851387e+01
1.125376876761405187e+00 1.125372314302489407e+00 3.620667187263356345e-05 1.183947854388851795e+01 1.171129825043989747e+01 1.172166428397626525e+01 1.135716455168003769e+01
8.489685073155030237e-02 8.489685126105925295e-02 9.043927133361737334e-09 1.198927865365863177e+01 1.198890011603895012e+01 1.198897589257366292e+01 1.198679737142259683e+01
