# start_time, SNRtot_MF, SNR220_MF, SNR221_MF, nofilter, evidence220, evidence220_221, np.log10(occams220), np.log10(occams220_221)
1.900000000000000000e+01 1.061783079981231737e+01 1.055161984324219482e+01 1.296141227469455481e+00 -4.350162909142771923e+02 -3.818669144039033085e+02 -3.813462301295070915e+02 -1.143056830786111977e+00 -8.094945214737011563e-01
2.200000000000000000e+01 8.777055814974046299e+00 8.802269787345272434e+00 1.446315889200816773e+00 -4.164719168912016016e+02 -3.811555437908765498e+02 -3.808033845988166490e+02 -1.016501304340326817e+00 -7.272861974035866872e-01
3.150000000000000000e+01 4.430859726815167932e+00 4.431367697645949733e+00 3.776298146151732538e-01 -3.837159160405990974e+02 -3.758297231045424951e+02 -3.751431820108217039e+02 -5.729885433807040407e-01 -7.333965959728375728e-01
1.050000000000000000e+01 2.557887529241623881e+01 2.500815727110703079e+01 1.878988614589079731e+00 -6.995294153105481882e+02 -3.765681697134131127e+02 -3.750800254738326203e+02 -1.516548979488156368e+00 -1.051664709909755135e+00
0.000000000000000000e+00 6.044161080177484280e+01 5.678021615081201645e+01 2.831119380916828376e+01 -2.198560009002845618e+03 -4.012842697840730466e+02 -3.784233567853968339e+02 -2.341668977553001518e+00 -1.602383407861640352e+00
4.100000000000000000e+01 1.729191048707820144e+00 1.729135267681850996e+00 4.162478741446133390e-01 -3.758413307673976078e+02 -3.762235365099053865e+02 -3.774164350473677132e+02 -2.648708468133125216e-01 -2.905322335750545326e-01
8.500000000000000000e+00 2.959617897129284714e+01 2.992089126528151155e+01 2.936880602214870795e+00 -8.113144778877963290e+02 -3.778111112621826919e+02 -3.760431414367700427e+02 -1.607263781777681144e+00 -1.090956556839172586e+00
1.400000000000000000e+01 1.539786335172398068e+01 1.556561499409088434e+01 8.968889103955546283e-01 -4.904050734920824652e+02 -3.775366804653470467e+02 -3.765270289621520305e+02 -1.342913290310888907e+00 -1.038190417715328717e+00
2.650000000000000000e+01 6.437195464030227576e+00 6.436592507167598676e+00 -2.946384310458150524e-01 -4.001309939191471585e+02 -3.832627473495103345e+02 -3.827386807420427317e+02 -8.425514812077354865e-01 -6.732246584266432521e-01
4.950000000000000000e+01 1.773164795601009258e+00 1.773102398228044052e+00 5.800282880733947932e-01 -3.806727138059566187e+02 -3.802854876018432151e+02 -3.827439418807663287e+02 -2.852730630921452293e-01 -4.212598605735837776e-01
3.500000000000000000e+01 3.794337157743384648e+00 3.794614713152774765e+00 3.024061477558589450e-01 -3.802309711033583994e+02 -3.748940073466085323e+02 -3.742168427488053908e+02 -6.953480679729451275e-01 -6.369738936892410663e-01
3.900000000000000000e+01 3.271741505962487029e+00 3.271708470027429705e+00 4.143181391648573797e-01 -3.772661733234036774e+02 -3.742770003063153013e+02 -3.748093187143285263e+02 -4.011239951174359608e-01 -2.232834984601274331e-01
4.550000000000000000e+01 1.509997231458714229e+00 1.509906303291843832e+00 1.449631053598083863e+00 -3.794389768774403251e+02 -3.781959097905025828e+02 -3.795794325244179959e+02 -3.337131726593845493e-01 -3.662434302725278146e-01
1.800000000000000000e+01 1.273937031666665831e+01 1.266865444645183381e+01 1.529495842258638882e+00 -4.608878162871960740e+02 -3.829229519051616535e+02 -3.834517325062362261e+02 -1.158612579769582096e+00 -7.927593250045226192e-01
4.500000000000000000e+00 4.263371973625831401e+01 3.788652238388821303e+01 9.402032568850147598e+00 -1.281804333474626901e+03 -3.800936844406373325e+02 -3.758944080850298519e+02 -1.943492360603848113e+00 -1.206757450406181542e+00
3.050000000000000000e+01 4.523294030824090761e+00 4.524988873557797220e+00 1.010264513759145277e+00 -3.851579258361574603e+02 -3.764458996335955021e+02 -3.756957002082048689e+02 -6.144447294734570741e-01 -7.162976428157790121e-01
2.300000000000000000e+01 8.802261106073926200e+00 8.825557162957762714e+00 5.528383257069623413e-01 -4.201608677953544770e+02 -3.841259274057266566e+02 -3.833671480064281241e+02 -9.198992321258430138e-01 -7.380438529538243531e-01
1.150000000000000000e+01 2.134536434848253350e+01 2.077027615780014358e+01 1.910162433102291057e+00 -5.997233504567775526e+02 -3.759494160356346129e+02 -3.761863042759736118e+02 -1.458247375112749600e+00 -1.057961157960488841e+00
1.000000000000000000e+00 5.772790458711030936e+01 5.640240183958950126e+01 1.753012932000841673e+01 -2.038667759869409792e+03 -3.918124672942681741e+02 -3.785257842172281926e+02 -2.145535730174372713e+00 -1.555505768222122942e+00
4.000000000000000000e+01 3.227499479219832157e+00 3.227338872208281639e+00 5.736240929251585907e-01 -3.786342842337313641e+02 -3.749356127968343344e+02 -3.730894816939344878e+02 -3.766737411514056721e-01 -3.146250407232464852e-01
3.500000000000000000e+00 5.090666646166023668e+01 4.515382546881239989e+01 1.004932811627315203e+01 -1.667984189217519088e+03 -3.793733489990138423e+02 -3.752407412330783245e+02 -1.987256949429016650e+00 -1.234006237582674137e+00
4.250000000000000000e+01 1.599499998500803821e+00 1.599536703789673719e+00 4.700891212031748090e-01 -3.774571675793532677e+02 -3.774438378105142533e+02 -3.778163179964405458e+02 -2.272570839958980293e-01 -3.561311567339970896e-01
2.150000000000000000e+01 8.786333678209858888e+00 8.796955468847944104e+00 2.325194911458552838e+00 -4.183771946127295678e+02 -3.820431245009717145e+02 -3.802695822058859108e+02 -1.036546139435402969e+00 -7.031797205983639776e-01
