# start_time, SNRtot_MF, SNR220_MF, SNR221_MF, evidence220_221, evidence220, evidence221, nofilter
2.800000000000000000e+01 2.199912284489260017e+01 2.190677671023372142e+01 2.150588216478666936e+00 -3.885461447196058771e+02 -3.899095916476351249e+02 -3.938033525541837321e+02 -6.287812352031002092e+02
8.500000000000000000e+01 -3.983405549687651925e-01 -3.983404891414034088e-01 -6.373654802690481569e-01 -3.976553637282229943e+02 -3.992958314395525008e+02 -4.000100661204183439e+02 -4.003201564222520688e+02
5.400000000000000000e+01 1.258409886293643920e+00 1.258422821035875661e+00 -1.001652215618149100e+00 -3.935838438262514956e+02 -3.948614672309701632e+02 -3.948794457383543204e+02 -3.957505397301869721e+02
8.200000000000000000e+01 -2.505670604377905897e-01 -2.505671490823361824e-01 3.807310538926110266e-01 -3.979637503146735185e+02 -3.993963699410889490e+02 -4.001174780052419351e+02 -3.996770786160582816e+02
5.300000000000000000e+01 1.287859501221872316e+00 1.287944524827232762e+00 -2.051850230365324546e+00 -3.934459132089558011e+02 -3.950914146380647480e+02 -3.947452442393479828e+02 -3.970250331794172212e+02
6.600000000000000000e+01 8.479731650859798631e-01 8.479747876119647643e-01 -3.484734124861569304e-01 -3.917489071133381913e+02 -3.914161898137340359e+02 -3.913931034887914961e+02 -3.909962668044246925e+02
6.100000000000000000e+01 1.807833987732900383e+00 1.807818857729275752e+00 1.463208453785615815e+00 -3.930193511942514419e+02 -3.929436626832728052e+02 -3.928158605365192670e+02 -3.944160553477278768e+02
1.300000000000000000e+01 8.348039952343845016e+01 7.875382991049457360e+01 6.373317954952137931e+00 -3.913234268409577794e+02 -3.928226322847413599e+02 -4.230994096479690256e+02 -3.870415008525762914e+03
6.800000000000000000e+01 1.160925168937254393e+00 1.160923998688133230e+00 3.358617470167868935e-01 -3.935808806563659914e+02 -3.923131806200105984e+02 -3.933066660489574815e+02 -3.912953439531535764e+02
1.400000000000000000e+01 7.353338347155791155e+01 6.990362256229123261e+01 5.673113946355123893e+00 -3.924729419988295263e+02 -3.942370800616525344e+02 -4.227250685170552629e+02 -3.090499906797995209e+03
2.500000000000000000e+01 2.502046713436740433e+01 2.491782098161045056e+01 1.937249588087519792e+00 -3.877171784559933485e+02 -3.899689269675158698e+02 -3.948541053571724433e+02 -6.994182102031209070e+02
8.800000000000000000e+01 9.185217887187210328e-01 9.185218353279300807e-01 -4.689387454980590841e-01 -3.979682072876055372e+02 -3.980298465271903297e+02 -3.986279798899133766e+02 -3.996967885293073550e+02
